module_id	module_name	tier	source_org_count	source_orgs
M00909	UDP-GlcNAc biosynthesis, prokaryotes, Fru-6P => UDP-GlcNAc	A	44	aba,ade,afr,apr,apv,bba,bsed,bsr,bsu,cac,cae,ccz,cex,cpo,ctd,ddf,det,din,dra,dth,ecj,eco,emi,fma,fnu,fvg,gsk,gsu,heo,hin,hit,hpy,nli,nme,nmp,ote,syn,syz,tai,tma,tnr,ttk,tye,vab
M00916	Pyridoxal phosphate biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	A	20	aba,bsr,bsu,caby,cac,cae,ccz,cex,det,dra,dth,fml,fsu,fvg,hin,hit,tai,tma,tro,vab
M00918	Aerobactin biosynthesis, lysine => aerobactin	A	1	bba
M00922	CMP-Neu5Ac biosynthesis, bacteria, UDP-GlcNAc => CMP-Neu5Ac	A	2	nme,nmp
M00923	UDP-L-FucNAc biosynthesis, UDP-GlcNAc => UDP-L-FucNAc	A	6	bba,bth,btho,caby,fml,fsu
M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	A	3	cac,cae,fnu
M00926	Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme	A	4	aba,bsr,bsu,rba
M00930	Menaquinone biosynthesis, futalosine pathway	A	6	din,dra,gsk,gsu,rba,ttk
M00931	Menaquinone biosynthesis, modified futalosine pathway	A	2	heo,hpy
M00938	Pyrimidine deoxyribonucleotide biosynthesis, UDP => dTTP	A	18	aae,afr,bba,bsr,bsu,cprv,ecj,eco,heo,hin,hit,hpy,nme,nmp,rmr,rpo,rpr,saal
M00939	Pyrimidine degradation, uracil => 3-hydroxypropanoate	A	2	ecj,eco
M00950	Biotin biosynthesis, BioU pathway, pimeloyl-ACP/CoA => biotin	A	2	syn,syz
M00954	CMP-KDN biosynthesis, Man-6P => CMP-KDN	A	2	bth,btho
M00956	Lysine degradation, bacteria, L-lysine => succinate	A	2	ecj,eco
M00958	Adenine ribonucleotide degradation, AMP => Urate	A	7	bsed,bsr,bsu,caci,dra,ecj,eco
M00959	Guanine ribonucleotide degradation, GMP => Urate	A	6	bsr,bsu,caci,dra,ecj,eco
M00970	Proline degradation, proline => glutamate	A	29	aba,bba,bsed,bsr,bsu,bth,caby,ccz,cprv,ddf,dra,ecj,eco,gau,gsk,gsu,heo,hpy,ial,lpro,nme,nmp,ote,rba,rmr,syn,syz,tnr,vab
M00972	Proline metabolism	A	6	aba,bsr,bsu,caby,gau,nli
M00978	Ornithine-ammonia cycle	A	7	ccz,cprv,lpro,nli,syn,syz,vab
M00982	Methylcitrate cycle	A	9	aba,bba,bsr,bsu,ecj,eco,nme,nmp,rmr
M00984	Sulfur oxidation, tetrathionate intermediate (S4I) pathway, thiosulfate => sulfur + sulfate + thiosulfate	A	1	afr
M00985	Sulfide oxidation, sulfide => sulfur	A	1	cte
M00986	Sulfur reduction, sulfur => sulfide	A	3	bbu,bbz,fnu
M00988	PreQ1 biosynthesis, GTP => 7-Aminomethyl-7-deazaguanine	A	39	aae,aba,ade,bba,bsr,bsu,bth,btho,caby,ccz,cte,din,ecj,eco,emi,fml,fsu,gau,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tnr,ttk,tye,vai,vbl
M00989	Ubiquinone biosynthesis, O2-independent, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	A	3	afr,ecj,eco
M00995	UDP-MurNAc biosynthesis, Fru-6P => UDP-MurNAc	A	40	aba,ade,afr,apr,apv,bba,bsed,bsr,bsu,cac,cae,ccz,cex,cpo,ddf,din,dra,dth,ecj,eco,emi,fma,fnu,fvg,gsk,gsu,heo,hin,hit,hpy,nme,nmp,syn,syz,tai,tma,tnr,ttk,tye,vab
M00996	UDP-MurNAc biosynthesis, anhMurNAc => UDP-MurNAc	A	3	afr,nme,nmp
M00999	UDP-GlcA/GalA biosynthesis, UDP-Glc => UDP-GlcA => UDP-GalA	A	21	aae,ade,afr,bth,btho,cprv,cte,ddf,din,fml,fsu,gau,gsk,gsu,lpro,nli,ote,rba,ttk,tye,vbl
M01000	GDP-Man biosynthesis, Fru-6P => GDP-Man	A	33	aae,ade,afr,bsed,bth,btho,caby,cac,caci,cae,ccz,cprv,cte,ddf,dth,ecj,eco,fml,gsk,gsu,ial,nli,rba,rmr,syn,syz,tai,tma,tro,ttk,tye,vab,vbl
M01001	GDP-L-Fuc biosynthesis, L-Fuc => GDP-L-Fuc	A	2	bth,btho
M01004	UDP-Galf biosynthesis, UDP-Glc => UDP-Galf	A	15	apv,cac,cae,cpo,dra,ecj,eco,fsu,fvg,gsk,gsu,mmy,mmym,ote,vab
M01006	GDP-D-Rha4N biosynthesis, Fru-6P => GDP-D-Rha4N	A	3	ade,syn,syz
M01007	CMP-Pse5Ac7Ac biosynthesis, UDP-GlcNAc => CMP-Pse5Ac7Ac	A	1	hpy
M01011	CMP-Leg5Ac7Ac biosynthesis, UDP-BacNAc4NAc => CMP-Leg5Ac7Ac	A	1	nli
M01014	UDP-ManNAcA biosynthesis, UDP-GlcNAc => UDP-ManNAcA	A	6	bth,btho,ecj,eco,fma,gsu
M01015	GDP-Man biosynthesis, Man => GDP-Man	A	2	bth,btho
M01016	GDP-L-Fuc biosynthesis, GDP-Man => GDP-L-Fuc	A	23	aba,ade,bsed,bth,btho,cac,cae,ccz,ecj,eco,gsk,gsu,heo,hpy,ial,lpro,ote,rba,syn,syz,tai,tye,vai
M01018	GDP-D-Rha biosynthesis, GDP-Man => GDP-D-Rha	A	4	afr,gau,tro,vai
M01019	GDP-6-deoxy-Tal biosynthesis, GDP-Man => GDP-6-deoxy-Tal	A	1	din
M01025	dTDP-D-Fuc4NAc biosynthesis, Glc-1P => dTDP-D-Fuc4NAc	A	2	ecj,eco
M01028	GDP-DDmanHep biosynthesis, sedoheptulose-7P => GDP-DDmanHep	A	6	bth,btho,cac,cae,syn,syz
M01035	UDP-ManNAc3NAcA biosynthesis, UDP-GlcNAc => UDP-ManNAc3NAcA	A	2	aba,rmr
M01036	UDP-GalNAcA biosynthesis, UDP-GlcNAc => UDP-GalNAcA	A	1	lpro
M01045	Zeaxanthin biosynthesis, lycopene => beta-carotene => zeaxanthin	A	2	syn,syz
M01048	Sulfoquinovosyldiacylglycerol (SQDG) biosynthesis, glucose-1P => SQDG	A	2	syn,syz
M01049	Sulfoquinovose degradation, sulfoglycolytic Embden-Meyerhof pathway, beta-sulfoquinovose => (S)-DHPS	A	2	ecj,eco
