module_id	module_name	tier	source_org_count	source_orgs
M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine	A	4	ecj,eco,nme,nmp
M00026	Histidine biosynthesis, PRPP => histidine	A	27	afr,alam,bsr,bsu,bth,btho,caby,cac,cae,cprv,din,dra,dth,ecj,eco,emi,fml,fsu,gau,hin,hit,ial,nme,nmp,rba,tma,tro
M00027	GABA (gamma-Aminobutyrate) shunt	A	2	ecj,eco
M00028	Ornithine biosynthesis, glutamate => ornithine	A	38	aae,aba,ade,afr,alam,bsed,bsr,bsu,cac,cae,ccz,cprv,cte,ddf,det,din,dth,ecj,eco,fsu,gau,gsk,gsu,lpro,nli,nme,nmp,ote,rba,syn,syz,tma,tnr,ttk,tye,vab,vai,vbl
M00031	Lysine biosynthesis, mediated by LysW, 2-aminoadipate => lysine	A	2	tai,tro
M00033	Ectoine biosynthesis, aspartate => ectoine	A	2	din,nli
M00034	Methionine salvage pathway	A	2	bsr,bsu
M00035	Methionine degradation	A	4	ade,caby,cprv,gau
M00036	Leucine degradation, leucine => acetoacetate + acetyl-CoA	A	1	vab
M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	A	19	aba,bba,bsr,bsu,bth,btho,caby,caci,cex,cpo,cprv,ddf,fml,fnu,gau,ial,rmr,tai,vab
M00046	Pyrimidine degradation, uracil => beta-alanine, thymine => 3-aminoisobutanoate	A	1	vab
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	A	23	afr,bsr,bsu,ccz,cprv,dra,ecj,eco,fvg,gau,hin,hit,ial,lpro,nli,nme,nmp,rba,rmr,syn,syz,tma,tro
M00049	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	A	49	aae,aba,ade,afr,bba,bsr,bsu,bth,btho,caby,caci,cae,ccz,cpo,cprv,cte,ddf,det,din,dra,ecj,eco,emi,fml,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,mbf,nli,nme,nmp,ote,rba,rmr,syn,syz,tnr,tro,ttk,tye,vab,vai
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	A	46	aba,ade,afr,bba,bsr,bsu,bth,btho,caby,caci,cae,ccz,cpo,cprv,cte,ddf,det,din,dra,ecj,eco,emi,fml,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,nli,nme,nmp,ote,rba,rmr,syn,syz,tnr,tro,ttk,tye,vai
M00051	De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	A	11	bth,btho,caby,cac,cae,ecj,eco,fml,nme,nmp,tma
M00052	Pyrimidine ribonucleotide biosynthesis, UMP => UDP/UTP,CDP/CTP	A	58	aae,aba,ade,afr,bba,bbu,bbz,bsed,bsr,bsu,bth,btho,caby,caci,cae,ccz,cex,cpo,cprv,ctd,cte,ctr,ddf,det,din,dra,ecj,eco,emi,fml,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,lpro,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,saal,syn,syz,tnr,tro,ttk,tye,vab,vai
