pathway_id	pathway_name	source_org_count	source_orgs
ko00330	Arginine and proline metabolism - Fannyhessea vaginae	58	aae,aba,ade,afr,apr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00332	Carbapenem biosynthesis - Fannyhessea vaginae	40	aae,aba,ade,afr,bsr,bsu,bth,cac,cae,cte,ddf,det,din,dra,dth,ecj,eco,emi,fml,fsu,fvg,gau,gsk,gsu,hin,hit,mbf,nli,nme,nmp,ote,rba,syn,syz,tma,tnr,ttk,tye,vai,vbl
ko00340	Histidine metabolism - Haemophilus influenzae Rd KW20 (serotype d)	50	aae,aba,ade,afr,apr,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,gau,gsk,gsu,hin,hit,ial,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00350	Tyrosine metabolism - Fannyhessea vaginae	47	aae,aba,ade,afr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cte,ddf,din,dra,dth,ecj,eco,emi,fml,fnu,fsu,fvg,gau,gsk,gsu,hin,hit,ial,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00360	Phenylalanine metabolism - Lancefieldella parvula	49	aae,aba,ade,afr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cte,ddf,det,din,dra,ecj,eco,emi,fma,fml,fnu,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00361	Chlorocyclohexane and chlorobenzene degradation - Bacillus subtilis subsp. subtilis 168	15	aae,aba,afr,bsr,bsu,ccz,ecj,eco,gau,rba,syn,syz,tro,vab,vbl
ko00362	Benzoate degradation - Haemophilus influenzae Rd KW20 (serotype d)	40	aba,ade,apr,bba,bsr,bsu,bth,cac,cae,ccz,cpo,ddf,din,dra,dth,ecj,eco,fml,fnu,fsu,gau,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,tai,tro,ttk,vab,vbl
ko00364	Fluorobenzoate degradation - Escherichia coli K-12 MG1655	10	aae,aba,afr,ccz,ecj,eco,rba,syn,syz,vab
ko00380	Tryptophan metabolism - Fannyhessea vaginae	45	aba,ade,apr,bba,bsr,bsu,bth,ccz,cpo,cte,ddf,det,din,dra,dth,ecj,eco,fma,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tma,tnr,tro,ttk,vab,vai
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Fannyhessea vaginae	57	aae,aba,ade,afr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00401	Novobiocin biosynthesis - Fannyhessea vaginae	48	aae,aba,ade,afr,bba,bsr,bsu,bth,cac,cae,ccz,cte,ddf,det,din,dra,dth,ecj,eco,emi,fml,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00405	Phenazine biosynthesis - Synechocystis sp. PCC 6803	5	aba,gau,nli,syn,syz
ko00410	beta-Alanine metabolism - Fannyhessea vaginae	50	aae,aba,ade,afr,apr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,det,din,dra,ecj,eco,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00430	Taurine and hypotaurine metabolism - Fannyhessea vaginae	50	aba,ade,apr,apv,bba,bbz,bsr,bsu,bth,cac,cae,ccz,cpo,cte,ddf,din,dra,dth,ecj,eco,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tro,vab,vai,vbl
ko00440	Phosphonate and phosphinate metabolism - Bacteroides thetaiotaomicron VPI-5482	10	afr,apr,bth,ecj,eco,fsu,nli,ote,rba,tro
ko00450	Selenocompound metabolism - Fannyhessea vaginae	62	aae,aba,ade,afr,apr,apv,bba,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00460	Cyanoamino acid metabolism - Fannyhessea vaginae	49	aba,ade,apr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ddf,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,heo,hin,hit,hpy,ial,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,tye,vab,vai,vbl
ko00470	D-Amino acid metabolism - Fannyhessea vaginae	61	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rmr,rpo,rpr,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00480	Glutathione metabolism - Fannyhessea vaginae	62	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00500	Starch and sucrose metabolism - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00511	Other glycan degradation - Lancefieldella parvula	23	aba,apr,apv,bsr,bsu,bth,ccz,dth,ecj,eco,fml,fsu,gau,ial,mmy,ote,rba,rmr,syn,syz,tma,vab,vbl
ko00514	Other types of O-glycan biosynthesis - Synechocystis sp. PCC 6803	2	syn,syz
ko00515	Mannose type O-glycan biosynthesis - Synechocystis sp. PCC 6803	2	syn,syz
ko00520	Amino sugar and nucleotide sugar metabolism - Fannyhessea vaginae	63	aae,aba,ade,afr,apr,apv,bba,bbu,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,ctd,cte,ctr,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00521	Streptomycin biosynthesis - Fannyhessea vaginae	60	aae,aba,ade,afr,apr,apv,bba,bbz,bsr,bsu,bth,cac,cae,ccz,cex,cpo,cte,ddf,det,din,dra,dth,ecj,eco,emi,fma,fml,fnu,fsu,fvg,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,mmy,nli,nme,nmp,ote,rba,rmr,rpo,rpr,sox,syn,syz,tai,tma,tnr,tro,ttk,tye,vab,vai,vbl
ko00523	Polyketide sugar unit biosynthesis - Fannyhessea vaginae	41	aba,ade,afr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cte,din,dra,dth,ecj,eco,emi,fml,fnu,fsu,fvg,gau,gsk,gsu,ial,mbf,nli,nme,nmp,ote,rmr,sox,syn,syz,tai,tnr,tro,ttk,vab,vai
ko00524	Neomycin, kanamycin and gentamicin biosynthesis - Bacteroides thetaiotaomicron VPI-5482	1	bth
ko00525	Acarbose and validamycin biosynthesis - Fannyhessea vaginae	39	ade,afr,apv,bba,bsr,bsu,bth,cac,cae,ccz,cte,din,dra,dth,ecj,eco,emi,fml,fsu,fvg,gau,gsk,gsu,ial,mbf,nli,nme,nmp,ote,rmr,sox,syn,syz,tai,tnr,tro,ttk,vab,vai
ko00540	Lipopolysaccharide biosynthesis - Haemophilus influenzae Rd KW20 (serotype d)	45	aae,aba,ade,afr,bba,bth,ccz,ctd,cte,ctr,ddf,din,dth,ecj,eco,emi,fml,fnu,fsu,gau,gsk,gsu,heo,hin,hit,hpy,ial,mbf,nli,nme,nmp,ote,rba,rpo,rpr,syn,syz,tai,tnr,tro,ttk,tye,vab,vai,vbl
