pathway_id	pathway_name	source_org_count	source_orgs
ko00790	Folate biosynthesis - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00860	Porphyrin metabolism - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko00900	Terpenoid backbone biosynthesis - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko00907	Pinene, camphor and geraniol degradation - Aeropyrum pernix	3	acj,ape,tac
ko00910	Nitrogen metabolism - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko00920	Sulfur metabolism - Methanocaldococcus jannaschii	7	acj,ape,mfe,mja,nir,nmr,tac
ko00970	Aminoacyl-tRNA biosynthesis - Methanocaldococcus jannaschii	10	acj,agw,ape,mfe,mja,nir,nmr,oyw,tac,war
ko00984	Steroid degradation - Thermoplasma acidophilum	1	tac
ko00999	Biosynthesis of various plant secondary metabolites - Methanocaldococcus jannaschii	7	acj,agw,ape,mfe,mja,nir,nmr
ko01200	Carbon metabolism - Methanocaldococcus jannaschii	10	acj,agw,ape,mfe,mja,nir,nmr,oyw,tac,war
ko01210	2-Oxocarboxylic acid metabolism - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,oyw,tac
ko01212	Fatty acid metabolism - Aeropyrum pernix	5	acj,ape,nir,nmr,tac
ko01220	Degradation of aromatic compounds - Methanocaldococcus fervens	5	acj,ape,mfe,nir,nmr
ko01230	Biosynthesis of amino acids - Methanocaldococcus jannaschii	10	acj,agw,ape,mfe,mja,nir,nmr,oyw,tac,war
ko01232	Nucleotide metabolism - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko01240	Biosynthesis of cofactors - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko01250	Biosynthesis of nucleotide sugars - Methanocaldococcus jannaschii	10	acj,agw,ape,mfe,mja,nir,nmr,oyw,tac,war
ko01310	Nitrogen cycle - Aeropyrum pernix	4	acj,ape,nir,nmr
ko01320	Sulfur cycle - Aeropyrum pernix	5	acj,ape,nir,nmr,tac
ko01502	Vancomycin resistance - Nitrosopumilus maritimus	2	nir,nmr
ko01503	Cationic antimicrobial peptide (CAMP) resistance - Archaeon GW2011_AR10	1	agw
ko02010	ABC transporters - Methanocaldococcus jannaschii	8	acj,agw,ape,mfe,mja,nir,nmr,tac
ko02020	Two-component system - Methanocaldococcus jannaschii	10	acj,agw,ape,mfe,mja,nir,nmr,oyw,tac,war
ko02024	Quorum sensing - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko02030	Bacterial chemotaxis - Methanocaldococcus fervens	1	mfe
ko03008	Ribosome biogenesis in eukaryotes - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03010	Ribosome - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03013	Nucleocytoplasmic transport - Methanocaldococcus jannaschii	6	acj,agw,ape,mfe,mja,tac
ko03015	mRNA surveillance pathway - Methanocaldococcus jannaschii	7	acj,agw,ape,mfe,mja,nmr,tac
ko03018	RNA degradation - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03020	RNA polymerase - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03022	Basal transcription factors - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03030	DNA replication - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03060	Protein export - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03070	Bacterial secretion system - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03410	Base excision repair - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03420	Nucleotide excision repair - Methanocaldococcus jannaschii	8	acj,ape,mfe,mja,nir,nmr,tac,war
ko03430	Mismatch repair - Methanocaldococcus jannaschii	9	acj,agw,ape,mfe,mja,nir,nmr,tac,war
ko03440	Homologous recombination - Methanocaldococcus jannaschii	5	mfe,mja,nir,nmr,tac
ko03460	Fanconi anemia pathway - Nitrosopumilus maritimus	2	nir,nmr
